Meu Vivo App 2018	1200x628	Facebook	Consumo de saldo PRE pago 	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C3_C1_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	Extrato Detalhado Pré Pago	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C3_C2_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	Recarga Pré Pago	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C3_C3_MP_1200X628
Meu Vivo App 2018	300x250	Google	POS PAGO - troca de plano	VIVO_MEU VIVO MOVEL_PORTAL_GOOGLE_VM_NA_C4_C6_MD_300X250
Produzido	300x250	Google	2_via_conta	VIVO_MEU VIVO MOVEL_PORTAL_GOOGLE_VM_NA_C4_C7_MD_300X250
Meu Vivo App 2018	300x250	Google	Consumo de saldo POS pago	VIVO_MEU VIVO MOVEL_PORTAL_GOOGLE_VM_NA_C4_C1_MD_300X250
Meu Vivo App 2018	300x250	Google	Extrato Detalhado Pós Pago	VIVO_MEU VIVO MOVEL_PORTAL_GOOGLE_VM_NA_C4_C2_MD_300X250
Meu Vivo App 2018	300x250	Google	POS PAGO - conta digital	VIVO_MEU VIVO MOVEL_PORTAL_GOOGLE_VM_NA_C4_C8_MD_300X250
Meu Vivo App 2018	300x250	Google	Debito automático Pós Pago	VIVO_MEU VIVO MOVEL_PORTAL_GOOGLE_VM_NA_C4_C9_MD_300X250
Meu Vivo App 2018	300x250	Google	POS DADOS	VIVO_MEU VIVO MOVEL_PORTAL_GOOGLE_VM_NA_C4_C5_MD_300X250
Meu Vivo App 2018	300x250	Google	Pos Pago Vivo Valoriza	VIVO_MEU VIVO MOVEL_PORTAL_GOOGLE_VM_NA_C4_D1_MD_300X250
Meu Vivo App 2018	300x250	Google	Pos pago Agendamento em loja	VIVO_MEU VIVO MOVEL_PORTAL_GOOGLE_VM_NA_C4_D2_MD_300X250
Meu Vivo App 2018	300x250	Google	PERFORMANCE_NAC_Conversão - Pos_Aura_Mobile_Display_VM_NA_C4_D4_MD	VIVO_MEU VIVO MOVEL_PORTAL_GOOGLE_VM_NA_C4_D4_MD_300X250
Meu Vivo App 2018	300x250	Google	Consumo de saldo PRE pago 	VIVO_MEU VIVO MOVEL_PORTAL_GOOGLE_VM_NA_C3_C1_MD_300X250
Meu Vivo App 2018	300x250	Google	Extrato Detalhado Pré Pago	VIVO_MEU VIVO MOVEL_PORTAL_GOOGLE_VM_NA_C3_C2_MD_300X250
Meu Vivo App 2018	300x250	Google	Recarga Pré Pago	VIVO_MEU VIVO MOVEL_PORTAL_GOOGLE_VM_NA_C3_C3_MD_300X250
Meu Vivo App 2018	300x250	Google	Compartilhamento de internet pré pago	VIVO_MEU VIVO MOVEL_PORTAL_GOOGLE_VM_NA_C3_C4_MD_300X250
Meu Vivo App 2018	300x250	Google	PRE DADOS	VIVO_MEU VIVO MOVEL_PORTAL_GOOGLE_VM_NA_C3_C5_MD_300X250
Meu Vivo App 2018	300x250	Google	PERFORMANCE_NAC_Conversão - Pré_Aura_Mobile_Display_VM_NA_C3_D4_MD	VIVO_MEU VIVO MOVEL_PORTAL_GOOGLE_VM_NA_C3_D4_MD_300X250
Meu Vivo App 2018	1200x628	Facebook	Compartilhamento de internet pré pago	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C3_C4_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	PRE DADOS	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C3_C5_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	PERFORMANCE_NAC_Conversão - Pré_Aura_Mobile Page Post _VM_NA_C3_D4_MP	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C3_D4_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	Consumo de saldo PRE pago 	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C3_C1_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	Extrato Detalhado Pré Pago	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C3_C2_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	Recarga Pré Pago	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C3_C3_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	Compartilhamento de internet pré pago	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C3_C4_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	PRE DADOS	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C3_C5_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	PERFORMANCE_NAC_Conversão - Pré_Aura_Mobile Page Post _VM_NA_C3_D4_MP	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C3_D4_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	Consumo de saldo PRE pago 	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C3_C1_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	Extrato Detalhado Pré Pago	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C3_C2_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	Recarga Pré Pago	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C3_C3_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	Compartilhamento de internet pré pago	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C3_C4_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	PRE DADOS	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C3_C5_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	PERFORMANCE_NAC_Conversão - Pré_Aura_Mobile Page Post _VM_NA_C3_D4_MP	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C3_D4_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	POS PAGO - troca de plano	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C4_C6_MP_1200X628
Produzido	1200x628	Facebook	2_via_conta	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C4_C7_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	Consumo de saldo POS pago	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C4_C1_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	Extrato Detalhado Pós Pago	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C4_C2_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	POS PAGO - conta digital	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C4_C8_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	Debito automático Pós Pago	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C4_C9_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	POS DADOS	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C4_C5_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	Pos Pago Vivo Valoriza	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C4_D1_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	Pos pago Agendamento em loja	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C4_D2_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	PERFORMANCE_NAC_Conversão - Pos_Aura_Mobile Page Post _VM_NA_C4_D4_MP	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C4_D4_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	POS PAGO - troca de plano	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C4_C6_MP_1200X628
Produzido	1200x628	Facebook	2_via_conta	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C4_C7_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	Consumo de saldo POS pago	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C4_C1_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	Extrato Detalhado Pós Pago	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C4_C2_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	POS PAGO - conta digital	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C4_C8_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	Debito automático Pós Pago	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C4_C9_MP_1200X628
Meu Vivo App 2018	1200x628	Facebook	POS DADOS	VIVO_MEU VIVO MOVEL_PORTAL_FACEBOOK_VM_NA_C4_C5_MP_1200X628
